date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Jan%202021%2013:24:08%20GMT	http://ahagiefula.com/robots.txt		(from )
14:24:07	5889/5889	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2013:24:08%20GMT	http://ahagiefula.com/	C:/My%20Web%20Sites/your%20name/ahagiefula.com/index.html	(from )
14:24:09	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/your%20name/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from http://ahagiefula.com/)
14:24:09	2186/2186	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Jan%202021%2012:08:10%20GMT	http://ahagiefula.com/css/style.css	C:/My%20Web%20Sites/your%20name/ahagiefula.com/css/style.css	(from http://ahagiefula.com/)
14:24:10	3748/3748	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2015:57:32%20GMT	http://ahagiefula.com/css/croppie.css	C:/My%20Web%20Sites/your%20name/ahagiefula.com/css/croppie.css	(from http://ahagiefula.com/)
14:24:10	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/your%20name/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://ahagiefula.com/)
14:24:13	55024/55024	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2007:23:06%20GMT	http://ahagiefula.com/images/Hero-beer-logo.png	C:/My%20Web%20Sites/your%20name/ahagiefula.com/images/Hero-beer-logo.png	(from http://ahagiefula.com/)
14:24:15	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/your%20name/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from http://ahagiefula.com/)
14:24:15	30716/30716	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2013:07:34%20GMT	http://ahagiefula.com/frames/frame-0.png	C:/My%20Web%20Sites/your%20name/ahagiefula.com/frames/frame-0.png	(from http://ahagiefula.com/)
14:24:18	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/your%20name/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from http://ahagiefula.com/)
14:24:19	18520/18520	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20Dec%202020%2015:57:34%20GMT	http://ahagiefula.com/js/croppie.min.js	C:/My%20Web%20Sites/your%20name/ahagiefula.com/js/croppie.min.js	(from http://ahagiefula.com/)
14:24:19	5093/5093	---M--	200	added ('OK')	application/javascript	date:Thu,%2031%20Dec%202020%2007:15:40%20GMT	http://ahagiefula.com/js/app.js	C:/My%20Web%20Sites/your%20name/ahagiefula.com/js/app.js	(from http://ahagiefula.com/)
14:24:21	86709/86709	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20Dec%202020%2015:57:34%20GMT	http://ahagiefula.com/js/jquery-3.1.1.min.js	C:/My%20Web%20Sites/your%20name/ahagiefula.com/js/jquery-3.1.1.min.js	(from http://ahagiefula.com/)
14:24:24	162745/162745	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2011:02:28%20GMT	http://ahagiefula.com/images/avatar.png	C:/My%20Web%20Sites/your%20name/ahagiefula.com/images/avatar.png	(from http://ahagiefula.com/)
